station_id,station_name_from_path,source_file,observed_hours,valid_ghi_hours,calendar_coverage_pct,ghi_uptime_pct,ghi_valid_when_observed_pct,station_latitude,station_longitude
00113,aviemore,inverness-shire\00113_aviemore\qc-version-1\midas-open_uk-radiation-obs_dv-202607_inverness-shire_00113_aviemore_qcv-1_2024.csv,8750,8750,99.61293260473589,99.61293260473589,100.0,57.206,-3.828
00105,tulloch-bridge,inverness-shire\00105_tulloch-bridge\qc-version-1\midas-open_uk-radiation-obs_dv-202607_inverness-shire_00105_tulloch-bridge_qcv-1_2024.csv,8733,8733,99.41939890710383,99.41939890710383,100.0,56.867,-4.708
00370,leconfield,humberside\00370_leconfield\qc-version-1\midas-open_uk-radiation-obs_dv-202607_humberside_00370_leconfield_qcv-1_2024.csv,8754,8754,99.6584699453552,99.6584699453552,100.0,53.875,-0.442
00471,rothamsted,hertfordshire\00471_rothamsted\qc-version-1\midas-open_uk-radiation-obs_dv-202607_hertfordshire_00471_rothamsted_qcv-1_2024.csv,8776,8776,99.90892531876139,99.90892531876139,100.0,51.807,-0.36
00671,ross-on-wye,hereford-and-worcester\00671_ross-on-wye\qc-version-1\midas-open_uk-radiation-obs_dv-202607_hereford-and-worcester_00671_ross-on-wye_qcv-1_2024.csv,8660,8660,98.58834244080145,98.58834244080145,100.0,51.911,-2.586
00669,shobdon-airfield,hereford-and-worcester\00669_shobdon-airfield\qc-version-1\midas-open_uk-radiation-obs_dv-202607_hereford-and-worcester_00669_shobdon-airfield_qcv-1_2024.csv,8742,8742,99.52185792349727,99.52185792349727,100.0,52.243,-2.886
00862,odiham,hampshire\00862_odiham\qc-version-1\midas-open_uk-radiation-obs_dv-202607_hampshire_00862_odiham_qcv-1_2024.csv,8783,8783,99.98861566484517,99.98861566484517,100.0,51.239,-0.945
01161,aberdaron,gwynedd\01161_aberdaron\qc-version-1\midas-open_uk-radiation-obs_dv-202607_gwynedd_01161_aberdaron_qcv-1_2024.csv,8737,8737,99.46493624772313,99.46493624772313,100.0,52.789,-4.741
01145,valley,gwynedd\01145_valley\qc-version-1\midas-open_uk-radiation-obs_dv-202607_gwynedd_01145_valley_qcv-1_2024.csv,8704,8704,99.08925318761385,99.08925318761385,100.0,53.253,-4.536
00726,kenley-airfield,greater-london\00726_kenley-airfield\qc-version-1\midas-open_uk-radiation-obs_dv-202607_greater-london_00726_kenley-airfield_qcv-1_2024.csv,8760,8760,99.72677595628416,99.72677595628416,100.0,51.304,-0.092
00723,kew-gardens,greater-london\00723_kew-gardens\qc-version-1\midas-open_uk-radiation-obs_dv-202607_greater-london_00723_kew-gardens_qcv-1_2024.csv,8761,8761,99.73816029143897,99.73816029143897,100.0,51.482,-0.294
00708,heathrow,greater-london\00708_heathrow\qc-version-1\midas-open_uk-radiation-obs_dv-202607_greater-london_00708_heathrow_qcv-1_2024.csv,8738,8738,99.47632058287796,99.47632058287796,100.0,51.479,-0.453
00692,little-rissington,gloucestershire\00692_little-rissington\qc-version-1\midas-open_uk-radiation-obs_dv-202607_gloucestershire_00692_little-rissington_qcv-1_2024.csv,8775,8775,99.89754098360656,99.89754098360656,100.0,51.861,-1.693
00235,leuchars,fife\00235_leuchars\qc-version-1\midas-open_uk-radiation-obs_dv-202607_fife_00235_leuchars_qcv-1_2024.csv,8758,8758,99.7040072859745,99.7040072859745,100.0,56.377,-2.862
57063,thomastown,fermanagh\57063_thomastown\qc-version-1\midas-open_uk-radiation-obs_dv-202607_fermanagh_57063_thomastown_qcv-1_2024.csv,8699,8699,99.03233151183971,99.03233151183971,100.0,54.33,-7.595
00811,herstmonceux-west-end,east-sussex\00811_herstmonceux-west-end\qc-version-1\midas-open_uk-radiation-obs_dv-202607_east-sussex_00811_herstmonceux-west-end_qcv-1_2024.csv,8589,8589,97.78005464480874,97.78005464480874,100.0,50.891,0.317
01198,aberporth,dyfed\01198_aberporth\qc-version-1\midas-open_uk-radiation-obs_dv-202607_dyfed_01198_aberporth_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.14,-4.571
